Catalog Number,Alternative Number,Source,Species Group,Sex,Country,State/Province,County,Locality,Longitude,Latitude,Sample Type
756,,MZUSP,goeldii,NA,Brazil,Mato Grosso,Chapada dos Guimarães,UHE APM Manso,-55.78638,-14.87316,FR
ABX005,,LMUSP,guyannensis,F,Brazil,Amazonas,Borba,"Comunidade Maruim, margem esquerda Rio Abacaxis,margem direita Rio Madeira",-58.63314,-4.31203,FR
ABX008,,LMUSP,guyannensis,F,Brazil,Amazonas,Nova Olinda do Norte,"Acima da Comunidade Maruim, margem esquerda Rio Abacaxis, margem direita Rio Madeira",-58.63442,-4.34328,FR
ABX020,,LMUSP,guyannensis,F,Brazil,Amazonas,Nova Olinda do Norte,"Acima da Comunidade Maruim, margem esquerda Rio Abacaxis, margem direita Rio Madeira",-58.63442,-4.34328,FR
ABX027,,LMUSP,goeldii,F,Brazil,Amazonas,Borba,"Comunidade Maruim, margem esquerda Rio Abacaxis, margem direita Rio Madeira",-58.63314,-4.31203,FR
ABX028,,LMUSP,guyannensis,F,Brazil,Amazonas,Borba,"Comunidade Maruim, margem esquerda Rio Abacaxis, margem direita Rio Madeira",-58.63314,-4.31203,FR
ABX029,,LMUSP,guyannensis,M,Brazil,Amazonas,Nova Olinda do Norte,"Acima da Comunidade Maruim, margem direita Rio Abacaxis, margem direita Rio Madeira",-58.63442,-4.34328,FR
ABX077,,LMUSP,guyannensis,F,Brazil,Amazonas,Maués,"Abaixo Paca-Mirim, ca. 600 m do Rio Abacaxis, margem direita Rio Abacaxis, margem direita Rio Madeira",-58.20922,-4.58208,FR
AMCC112929,USNM448714,AMNH-AMCC,trinitatis,F,Venezuela,Zulia,No information,Mision Tukuko,-72.8091,9.84363,FR
AMCC112987,USNM448733,AMNH-AMCC,trinitatis,F,Venezuela,Zulia,No information,Mision Tukuko,-72.8091,9.84363,FR
AMCC112999,USNM448711,AMNH-AMCC,guyannensis,M,Venezuela,Bolivar,No information,San Ignacio Yuruani,-61.09269,5.07502,FR
AMCC114577,MUSM23828,AMNH-AMCC,gardneri,NA,Peru,Loreto,Requena,Jenaro Herrera [=Genaro Herrera],-73.66744,-4.90625,FR
AMCC114589,MUSM23829,AMNH-AMCC,simonsi,NA,Peru,Loreto,Requena,Jenaro Herrera [=Genaro Herrera],-73.66744,-4.90625,FR
AMCC175984,JOG4521; EBRG25376,AMNH-AMCC,trinitatis,NA,Venezuela,Fálcon,Serranía de San Luís,"Cabure, Camino Viejo",-69.63328,11.13328,FR
AMCC176080,JOG4488; EBRG25473,AMNH-AMCC,trinitatis,NA,Venezuela,Fálcon,Península de Paraguaná,"Cerro Santa Ana, ca. 4 Km N Santa Ana",-69.95012,11.81811,FR
AMNH23109,,AMNH-AMCC,trinitatis,F,Colombia,Magdalena,Santa Marta,Minca,-74.11742,11.14226,DR
AMNH235152,,AMNH-AMCC,trinitatis,NA,Trinidad and Tobago,Trinidad,No information,Turure Ward,-61.46712,10.41568,FR
AMNH269122,,AMNH-AMCC,longicaudatus,M,French Guyana,Cayenne,Sinnamary,"Paracou, near Sinnamary",-52.92366,5.27438,FR
AMNH269123,LHE1163,AMNH-AMCC,longicaudatus,M,French Guyana,Cayenne,Sinnamary,"Paracou, near Sinnamary",-52.92366,5.27438,FR
AMNH272698,RSV2092,AMNH-AMCC,longicaudatus,F,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
AMNH272700,RSV2095,AMNH-AMCC,longicaudatus,M,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
AMNH272714,RSV2132,AMNH-AMCC,gardneri,F,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Río Galvez",-73.16208,-5.2495,FR
AMNH64659,,AMNH-AMCC,decumanus,M,Ecuador,Santa Elena,"Santa Elena, Manglaralto","Manglaralto, Cerro Manglar Alto",-80.71113,-1.93681,FR
AMNH78026,,AMNH-AMCC,goeldii,M,Venezuela,Amazonas,Atabapo,"Orinoco River, Cana Paripari",-67.68961,4.03523,FR
APC1085,,MZUSP,longicaudatus,F,Brazil,Mato Grosso,Porto Estrela,Estação Ecológica Serra das Araras,-57.21464,-15.65353,FR
APC1217,,MZUSP,guyannensis,F,Brazil,Tocantins,Mateiros,Estação Ecológica Serra Geral do Tocantins,-46.70895,-10.85524,FR
APC817,,MZUSP,guyannensis,F,Brazil,Distrito Federal,Brasília,"Centro de Instrução e Adestramento de Brasília, CIAB",-47.98038,-16.01777,FR
APC839,,MZUSP,guyannensis,M,Brazil,Distrito Federal,Brasília,"Centro de Instrução e Adestramento de Brasília, CIAB",-47.98038,-16.01777,FR
BAC320,UFES1580,CTA-UFES,guyannensis,M,Brazil,Pará,Canaã dos Carajás,"Canga B, Serra Azul",-50.42313,-6.34376,FR
BM12174,,LMUSP,goeldii,M,Brazil,Pará,Vitória do Xingu,UHE Belo Monte,-51.90807,-3.38232,FR
BMC111589,,LMUSP,guyannensis,F,Brazil,Pará,Vitória do Xingu,UHE Belo Monte,-51.81476,-3.13498,FR
BMC111682,,LMUSP,goeldii,M,Brazil,Pará,Vitória do Xingu,UHE Belo Monte,-51.75418,-3.27342,FR
C247647,C247647-6738,MZUSP,goeldii,M,Brazil,Mato Grosso,Colider,"Rancho do Rogério, Margem esquerda do Rio Teles Pires,",-56.51269,-9.45183,FR
CAM091,,MZUSP,goeldii,NA,Brazil,Mato Grosso,Sapezal,"UHE Cachoeirão, Rio Juruena",-58.95777,-12.9896,DR
CAM200,,MZUSP,goeldii,NA,Brazil,Mato Grosso,Sapezal,"UHE Cachoeirão, Rio Juruena",-58.95777,-12.9896,DR
CIT375,PEU960021,CIT,longicaudatus,NA,Brazil,Mato Grosso,Aripuanã,No information,-59.44718,-10.17484,FR
CIT393,PEU960065,CIT,longicaudatus,NA,Brazil,Mato Grosso,Aripuanã,No information,-59.44718,-10.17484,FR
CIT405,M968406,CIT,longicaudatus,F,Brazil,Mato Grosso,Apiacás,No information,-57.39563,-9.5678,FR
CIT448,M968498,CIT,longicaudatus,F,Brazil,Mato Grosso,Apiacás,No information,-57.39563,-9.5678,FR
CIT588,M088,CIT,goeldii,F,Brazil,Mato Grosso,Gaúcha do Norte,No information,-53.25595,-13.18229,FR
CTA1028,YL53,CTA-UFES,Euryzygomatomys spinosus,M,Brazil,Minas Gerais,No information,No information,-43.5,-20.083,FR
CTA1349,MVZ197574; LPC394,CTA-UFES,longicaudatus,F,Brazil,Mato Grosso,Barra do Garças,"Fazenda São Luis, 30 km N Barra do Garças",-52.35583,-15.63333,FR
CTA1415,MVZ197661; LPC462,CTA-UFES,longicaudatus,M,Brazil,Mato Grosso,Barra do Garças,"Fazenda São Luis, 30 km N Barra do Garças",-52.35583,-15.63333,FR
CTA1511,UFMG3029,CTA-UFES,guyannensis,F,Brazil,Mato Grosso,Alta Floresta,"Reserva Ecológica Cristalino, 40 km N Alta Floresta",-55.93028,-9.59694,FR
CTA1517,MVZ197575; LPC564,CTA-UFES,goeldii,F,Brazil,Mato Grosso,Alta Floresta,"Reserva Ecológica Cristalino, 40 km N Alta Floresta",-55.93028,-9.59694,FR
