Samples,Clades,Subclades,Initial Reads,Filtered Reads,Initial Clusters,Filtered Clusters,Heterozigosity (H),Error (H),Final Clusters,Loci Retained,Used in Conservative Trees,Used in Strict Trees
756,A,PTI,876183,875176,299176,10472,0.0115,0.0053,9076,1776,YES,-
ABX005,B,ABX,4250491,4246405,365088,79939,0.0081,0.0018,76583,14464,YES,YES
ABX008,B,ABX,762982,762306,88703,30486,0.0062,0.0017,29701,5191,YES,-
ABX020,B,ABX,2723645,2721069,310633,74213,0.007,0.0018,71727,14005,YES,YES
ABX027,A,PTI,2018660,2016780,240582,63552,0.0073,0.002,61267,12697,YES,-
ABX028,B,ABX,2362504,2360317,239439,69703,0.0066,0.0018,67567,13142,YES,-
ABX029,B,ABX,2372097,2370015,255708,69657,0.0058,0.0017,67708,13070,YES,-
ABX077,-,-,7162966,7155903,755307,136625,0.0096,0.0025,128073,23,-,-
AMCC112929,B,NVZ,851170,850361,159706,42923,0.0046,0.0015,41655,3405,YES,-
AMCC112987,B,NVZ,3039552,3036575,387817,70208,0.006,0.0016,67500,5984,YES,YES
AMCC112999,C,SVZ,1493735,1492180,188042,47498,0.0076,0.0014,45881,6433,YES,YES
AMCC114577,A,GJR,2609974,2607328,367853,69937,0.011,0.0017,66700,6416,YES,YES
AMCC114589,E,WAM,1151708,1150426,123083,6592,0.0178,0.0011,5823,579,YES,-
AMCC175984,B,NVZ,1593994,1592345,253049,57651,0.007,0.0015,55700,4703,YES,-
AMCC176080,B,NVZ,2627971,2625323,420811,70249,0.0056,0.0016,67277,5787,YES,YES
AMNH23109,-,-,134,103,98,0,0.01,0.001,0,0,-,-
AMNH235152,-,-,17108,16920,13642,87,0.014,0.0041,72,1,-,-
AMNH269122,D,NAR,446760,446305,168094,24787,0.0065,0.0042,22730,3877,YES,-
AMNH269123,D,NAR,4709606,4704845,440479,81567,0.0092,0.0015,77209,12105,YES,YES
AMNH272698,D,SSM,1100686,1099620,237619,55802,0.0075,0.0029,53195,8183,YES,-
AMNH272700,D,SSM,1608196,1606633,316822,62693,0.0078,0.0027,59824,9042,YES,YES
AMNH272714,A,GJR,1646703,1644970,242247,61240,0.0104,0.0016,58710,5566,YES,-
APC1085,D,SCE,1275032,1273833,195288,61834,0.0053,0.0019,59832,11950,YES,-
APC1217,B,CER,1223385,1222263,196789,60278,0.0044,0.0021,58622,16177,YES,-
APC817,B,CER,507218,506705,136624,32196,0.0039,0.0019,31162,8333,YES,-
APC839,B,CER,954670,953833,138773,46630,0.0042,0.002,45412,12212,YES,-
BAC320,B,XAI,1307660,1306432,215425,60063,0.0065,0.0019,58348,14849,YES,-
BM12174,A,EAM,654113,653474,196741,41609,0.0082,0.0024,39770,5890,YES,-
C247647,A,PTI,3778844,3775227,378714,85432,0.0077,0.002,81855,16712,YES,YES
CAM200,-,-,298222,297866,74669,473,0.0355,0.0158,263,30,-,-
CIT375,D,MTR,1141773,1140616,262513,58679,0.0066,0.002,56502,9753,YES,-
CIT393,D,MTR,2300707,2298561,374711,80194,0.0073,0.0019,77089,13523,YES,YES
CIT405,D,MTR,1264816,1263620,183971,57586,0.0049,0.0018,55895,9538,YES,-
CIT448,D,MTR,2766677,2764014,314952,72701,0.0057,0.0018,70109,12523,YES,YES
CIT588,-,-,70010,69934,50881,306,0.0198,0.0069,229,22,-,-
CIT648,A,PTI,2895615,2892827,260567,72153,0.0077,0.002,69315,14378,YES,YES
CTA1028,OUT,OUT,3141959,3138855,425166,73175,0.007,0.0019,70068,678,YES,-
CTA1349,D,SCE,580562,580005,199175,33686,0.0044,0.0021,32287,5795,YES,-
CTA1415,D,SCE,2175679,2173754,259666,71385,0.005,0.0019,69166,13739,YES,YES
CTA1511,B,TXI,2672598,2669989,311918,78351,0.0068,0.002,75906,16978,YES,YES
CTA1517,A,EAM,2568226,2565803,267401,77763,0.009,0.0019,74971,12610,YES,YES
CTA1652,B,CER,2780902,2778288,289468,75105,0.005,0.0018,72984,20180,YES,-
CTA1835,B,CER,382986,382578,108012,25465,0.0046,0.0021,24602,6183,YES,-
CTA4195,C,GUS,2021054,2018923,304134,63369,0.0066,0.0015,61033,9195,YES,YES
CTA4226,C,GUS,1355311,1354063,227575,56566,0.0057,0.0027,54486,8126,YES,-
CTA4245,D,NAR,2214988,2212738,215530,53681,0.0073,0.0016,51529,8307,YES,YES
CTA4324,A,PTI,2049704,2047800,223033,58921,0.0067,0.0022,56777,11679,YES,-
CTA4325,A,PTI,1481203,1479790,210688,49174,0.0067,0.0023,47176,9408,YES,-
CTA4326,A,PTI,1361471,1360246,162081,52563,0.0067,0.002,50760,10250,YES,-
CTA4327,A,PTI,2508069,2505756,272538,67742,0.0071,0.002,65265,13620,YES,-
CTA4352,A,LMR,3599480,3595923,402105,75248,0.0087,0.0015,71955,7219,YES,YES
CTA4357,A,PTI,1383550,1382312,163220,59376,0.0066,0.002,57491,11573,YES,-
CTA4363,A,LMR,2440084,2437512,323691,66449,0.0086,0.0018,63515,6295,YES,YES
CTA4371,A,IJM,1124626,1123499,213095,52486,0.0074,0.0017,50455,6500,YES,YES
CTA4390,B,TXI,198766,198558,124352,3750,0.0126,0.0044,3320,554,YES,-
CTA4400,A,EAM,737976,737170,185395,42822,0.0082,0.0022,41033,6014,YES,-
DPO018,B,XAI,1203365,1202146,173078,51983,0.0067,0.002,50494,12678,YES,-
EEB1013,OUT,OUT,1245322,1244143,201547,55354,0.006,0.0018,53616,544,YES,-
EFA004,A,PTI,938298,937485,184554,49867,0.0064,0.003,47632,8250,YES,-
EFA015,A,PTI,613347,612818,146081,34908,0.0064,0.0031,33082,5765,YES,-
EFA037,E,WAM,639589,639065,150881,41869,0.006,0.0029,40036,8627,YES,-
FMNH175255,D,UMD,408058,407613,65103,17918,0.0062,0.0015,17330,2175,YES,-
FMNH175275,E,WAM,3271144,3268074,456885,78046,0.0073,0.0029,74229,13989,YES,YES
FMNH26441,-,-,28994,28855,4524,304,0.0074,0.0016,287,2,-,-
FMNH52618,-,-,31829,31752,25249,64,0.0319,0.0143,37,2,-,-
FMPS010,OUT,OUT,3561188,3557750,377580,71386,0.0093,0.0021,66980,629,YES,YES
ICA085,-,-,53220,53147,13790,3480,0.005,0.0021,3370,250,-,-
ICA095,A,IJM,2819142,2816301,399671,75502,0.0101,0.0018,71378,9231,YES,YES
ICA240,A,NSR,1175331,1174206,263133,50911,0.0066,0.003,48428,3514,YES,-
ICA245,A,NSR,2414180,2411946,390167,67468,0.0082,0.0029,63649,4985,YES,YES
ICA246,A,IJM,275704,275390,90728,17505,0.0084,0.0023,16493,2042,YES,-
JAP006,A,IJM,1001447,1000454,193933,52284,0.0079,0.0018,50243,6437,YES,-
JAP012,A,NSR,1507100,1505662,240879,57940,0.0069,0.0017,55696,4376,YES,YES
JAP094,D,JAP,1350168,1348909,290864,58209,0.0056,0.0029,55642,8841,YES,YES
JAP095,D,JAP,769517,768890,204641,46628,0.0047,0.003,44565,7062,YES,-
JAP098,D,JAP,1189912,1188835,227822,55642,0.0052,0.0027,53485,8583,YES,-
JAP107,D,JAP,1476001,1474595,352015,61519,0.0058,0.0029,58300,8854,YES,YES
JUF017,C,NRB,4061708,4057600,480217,90502,0.0086,0.0015,85990,12192,YES,YES
MBR046,OUT,OUT,1674854,1673033,238582,58226,0.0061,0.0018,55953,1101,YES,-
MCNM1341,B,CER,295266,294991,73954,21701,0.0041,0.002,21060,5071,YES,-
MCNM1497,B,XAI,2400373,2398159,291650,72106,0.007,0.0019,69765,18141,YES,YES
MCNM1989,B,CER,181793,181559,125972,2598,0.0091,0.0059,2272,536,YES,-
MCNM2034,B,CER,228003,227725,127512,6616,0.0062,0.0044,6067,1476,YES,-
MCNM2258,D,SAR,185154,184762,108418,3090,0.011,0.0058,2689,501,YES,-
MJ12,A,JMI,580625,579987,129822,34993,0.0081,0.0021,33580,3439,YES,-
MJ252,A,PTI,2092078,2090078,251012,68095,0.0071,0.0017,65781,13499,YES,-
MJ330,D,UMR,424341,424007,117955,32302,0.0065,0.0019,31033,4646,YES,-
MJ391,A,PTI,1981924,1980001,212667,67813,0.0072,0.0019,65465,13447,YES,-
MJ449,A,JMI,860798,859951,187551,48334,0.0082,0.003,46090,4741,YES,-
MJ514,A,JMI,1252271,1251100,260847,55979,0.0085,0.0029,53392,5527,YES,-
MJ515,A,JMI,2144733,2142758,319340,65331,0.0086,0.0029,62354,6504,YES,YES
MJ523,A,JMI,733361,732759,148057,46451,0.008,0.002,44721,4665,YES,-
MJ529,E,WAM,1373019,1371819,278694,58446,0.0071,0.0027,56239,11676,YES,-
MJ6,A,JMI,538303,537813,159877,34824,0.0079,0.0035,32522,3531,YES,-
MJ601,A,PTI,2064457,2062519,390807,68453,0.0098,0.0034,64044,11466,YES,-
MJ665,A,JMI,577034,576582,177430,35784,0.0078,0.0033,33674,3420,YES,-
MN36222,B,CER,1565955,1564411,263020,64175,0.0048,0.0018,62330,17218,YES,-
MN36702,B,CER,212056,211857,55182,13804,0.0046,0.0021,13380,3265,YES,-
MN56812,C,NRB,3830255,3826355,514924,82841,0.0094,0.0017,78403,10995,YES,YES
MN56815,C,NRB,1976755,1974759,318122,65649,0.0078,0.0017,63155,9494,YES,-
MN56816,C,NRB,2233523,2231269,338417,66922,0.0079,0.0016,64204,9601,YES,-
MN67246,D,SCE,564796,564243,153577,38291,0.004,0.002,36961,7043,YES,-
MN76204,B,CER,1399039,1397706,148027,44948,0.0048,0.0018,43714,11758,YES,-
MN76211,B,CER,3103532,3100828,299906,74991,0.0056,0.0019,72637,20146,YES,-
MN76750,B,CER,3399309,3396093,309899,71700,0.006,0.0018,69258,18669,YES,YES
MN76754,B,CER,2233270,2231186,235670,63209,0.0056,0.0018,61362,16814,YES,-
MPEG20767,D,UMR,1219017,1218000,217180,55313,0.0073,0.0018,53368,8137,YES,-
MPEG20768,D,UMR,3596375,3592865,443107,79054,0.0093,0.0016,75153,11352,YES,YES
MPEG20769,D,UMR,3871135,3867308,471710,81980,0.0099,0.0016,77608,11246,YES,YES
MPEG21983,B,CER,390555,390116,113193,20755,0.0063,0.0026,19941,4438,YES,-
MPEG40369,A,EAM,566495,565899,178251,37010,0.0063,0.0027,35372,5415,YES,-
MPEG40371,B,XAI,374503,374070,147263,21565,0.0072,0.0034,20428,5064,YES,-
MRT3925,B,CER,267355,267105,77981,18972,0.0043,0.002,18276,4384,YES,-
MSB140110,D,ECU,3710546,3706843,421001,75722,0.0071,0.0015,72397,7666,YES,YES
MSB140111,D,ECU,2771091,2768271,354251,67979,0.0067,0.0016,65207,6793,YES,YES
MSB208394,D,PTC,1681886,1680194,233896,59112,0.0062,0.0015,57091,10353,YES,YES
MSB210840,D,PTC,1489934,1488429,257721,56443,0.0063,0.0016,54429,9886,YES,-
MSB211792,D,PAB,999198,998289,158650,51920,0.0049,0.0027,50058,7585,YES,YES
MSB236570,A,ATH,2558413,2556048,382635,70321,0.0097,0.0028,66827,6524,YES,YES
MSB236594,E,WAM,496118,495673,140709,35769,0.0067,0.003,33919,7320,YES,-
MSB236689,A,MMR,806223,805423,153452,48627,0.0066,0.0028,46589,7611,YES,YES
MSB236698,A,MMR,2605256,2602807,345824,70480,0.0082,0.0029,67312,11175,YES,-
MSB236807,A,MMR,1131093,1130084,247090,53394,0.0069,0.003,50907,8310,YES,YES
MSB238391,D,SPB,1421451,1420325,271360,55518,0.006,0.0018,53567,7691,YES,-
MSB239628,D,PTC,1285043,1283948,238296,56120,0.0048,0.0018,54262,9812,YES,-
MSB263513,HG,HG,1774930,1773026,372885,65644,0.0071,0.0022,62329,3793,YES,YES
MSB45836,D,SEM,1495950,1494764,239216,54149,0.0038,0.0017,52519,5380,YES,YES
MSB70574,D,SPB,3163614,3160405,411678,75158,0.0076,0.0016,71696,10258,YES,YES
MSB70575,D,SPB,1509094,1507733,249987,59055,0.0061,0.0028,56797,8020,YES,-
MSB99059,D,PTC,1574661,1573182,321540,59536,0.0057,0.0027,56960,10301,YES,YES
MSB99060,D,PTC,1084800,1083721,243208,48781,0.0053,0.0029,46671,8442,YES,-
MUSM13338,D,SSM,601726,601176,149745,40357,0.007,0.003,38282,5807,YES,-
MUSM13339,E,WAM,464635,464214,147965,33224,0.0074,0.0033,31088,6636,YES,-
MUSM13342,E,WAM,1264796,1263564,265383,59592,0.0076,0.0027,57254,11850,YES,-
MVZ155151,D,NSM,1534418,1533053,312250,58583,0.007,0.0029,55866,8239,YES,-
MVZ157855,D,SPB,3537288,3533940,385874,74723,0.0071,0.0028,71117,10370,YES,YES
MVZ157905,D,NSM,2862935,2860277,406759,74530,0.0085,0.0028,70955,10632,YES,YES
MVZ157968,E,STR,184713,184529,90165,7409,0.0075,0.0042,6671,1157,YES,-
MVZ160093,D,NAR,2106276,2104366,327408,64296,0.0055,0.0027,61564,9976,YES,-
MVZ160094,C,SVZ,3725061,3721306,411353,78198,0.01,0.0015,74657,10102,YES,YES
MVZ166815,E,WAM,2047998,2046209,287882,63448,0.0075,0.0028,60876,12275,YES,-
MVZ168942,A,MMR,761192,760521,134547,45864,0.0068,0.0032,43554,7021,YES,-
MVZ168948,-,-,12189,12120,8003,33,0.0239,0.0107,22,NaN,-,-
MVZ168949,-,-,20168,20108,17230,43,0.0303,0.0213,24,2,-,-
MVZ168953,D,SPB,1232239,1231094,253321,54686,0.0051,0.0028,52500,7295,YES,-
MVZ168955,E,WAM,3325897,3322862,419611,77869,0.0082,0.0027,74242,13987,YES,YES
MVZ190699,D,JUR,2215186,2213146,394036,70819,0.0065,0.0028,67316,10863,YES,YES
MVZ190951,A,CLJ,2206125,2204071,411744,72759,0.0101,0.0032,68253,11308,YES,-
MVZ190954,A,CLJ,838035,837273,165903,48127,0.0076,0.0032,45890,7498,YES,-
MVZ194439,D,SSM,1898970,1897183,327530,68419,0.0084,0.0029,65213,10268,YES,YES
MVZ194463,D,SSM,1564475,1563088,312188,61919,0.0081,0.0028,59034,8990,YES,-
MVZ194474,-,-,99366,99228,61815,1176,0.0143,0.0074,994,148,-,-
MVZ194485,D,SSM,487623,487216,155954,32236,0.0075,0.0032,30156,4630,YES,-
MVZ194491,D,JUR,535718,535252,150172,36321,0.0049,0.003,34519,5354,YES,-
MVZ194493,D,JUR,941957,941104,240458,50590,0.0051,0.0029,48366,7719,YES,YES
MVZ194511,A,SSR,760766,760024,97646,21155,0.0072,0.0021,20228,1283,YES,YES
MVZ194545,A,JMI,2183678,2181345,229409,62652,0.0106,0.0017,60051,6344,YES,YES
MVZ194567,A,GJR,1884446,1882495,325434,66022,0.0108,0.0019,63035,5933,YES,YES
MVZ194582,A,ATH,839115,838414,159305,48548,0.0095,0.002,46541,4506,YES,YES
MVZ194602,E,WAM,200474,200266,94043,8618,0.0084,0.0038,7799,1587,YES,-
MVZ194635,E,WAM,376080,375731,77506,23096,0.0073,0.0031,22019,4584,YES,-
MVZ194703,E,WAM,1124815,1123796,272101,56960,0.0073,0.0027,54706,11490,YES,-
MVZ194711,E,WAM,1567176,1565740,328818,62192,0.007,0.0028,59526,12219,YES,-
MVZ194775,E,WAM,1092033,1091058,245858,56383,0.0076,0.0028,54036,11240,YES,-
MVZ194874,A,UJR,2626650,2624245,474978,79458,0.011,0.003,74193,11762,YES,YES
MVZ194879,A,UJR,1759530,1757966,312783,63610,0.0095,0.0033,60231,9827,YES,YES
MVZ194909,A,CLJ,2252447,2250279,389587,69294,0.0084,0.0029,65788,10905,YES,-
MVZ194914,A,CLJ,3147232,3144201,473314,80987,0.0094,0.003,76063,11983,YES,YES
MVZ194987,A,CLJ,2649630,2647221,439430,78430,0.0091,0.0031,73994,12946,YES,YES
MVZ194997,A,CLJ,857157,856421,189878,47150,0.0073,0.0032,44884,7379,YES,-
MVZ195034,A,CLJ,353110,352818,120168,23300,0.0074,0.0038,21533,3357,YES,-
MVZ195036,A,CLJ,1179854,1178846,285308,56034,0.0081,0.0033,53087,8769,YES,-
MVZ196095,D,MAR,151445,151231,72935,5230,0.0063,0.0035,4868,437,YES,-
MVZ225064,D,SEM,3403305,3399963,476625,80606,0.0067,0.0017,76861,8076,YES,YES
MVZ225082,HG,HG,3673839,3670151,455668,84417,0.0077,0.0016,80392,4621,YES,YES
MZUSP30365,B,CER,1800847,1799198,175257,48241,0.0052,0.0018,46847,12404,YES,-
MZUSP30370,B,CER,3192286,3189447,301742,73339,0.0053,0.0018,71071,19316,YES,YES
MZUSP31926,D,MTR,1194053,1192881,173448,57420,0.0065,0.0019,55655,9396,YES,-
MZUSP31927,D,MTR,227536,227290,107363,9369,0.0075,0.003,8811,1354,YES,-
MZUSP31937,D,MTR,1058864,1057854,150208,53781,0.0057,0.0019,52130,8941,YES,-
MZUSP31939,D,MTR,653205,652644,144974,42525,0.0057,0.0023,40806,6589,YES,-
MZUSP31942,B,TXI,2980107,2977260,300271,74560,0.0069,0.0019,72083,15857,YES,YES
MZUSP31944,B,TXI,1227139,1225962,211715,57908,0.0061,0.002,56254,11413,YES,-
MZUSP31945,B,TXI,1010552,1009656,168453,53242,0.0046,0.002,51889,10531,YES,-
MZUSP31946,B,TXI,1781377,1779723,205133,64885,0.0047,0.0018,63311,13055,YES,-
MZUSP31947,B,XAI,2852271,2849567,309353,73524,0.006,0.0018,71224,18264,YES,YES
MZUSP31948,B,XAI,2285354,2283143,241812,64300,0.0058,0.0017,62472,15914,YES,-
MZUSP31950,B,CER,1282946,1281710,187577,59812,0.0047,0.0017,58297,15948,YES,-
MZUSP31951,B,CER,468984,468544,133021,33395,0.0042,0.0019,32304,8353,YES,-
NUTRIA289,OUT,OUT,2242635,2240340,328132,68584,0.0049,0.0017,66073,1412,YES,-
