Individual	Species	RB	ZB	MB	GSL	RD	CDM1	BaL	D	BuL	OccW
a663	PRO	-3.11512471765457	-0.25617447080417	-0.112281000700221	0.813532899215938	1.84323513299811	1.08237909156275	-0.406983547069171	-0.723231027985125	-4.15461330313065	-4.60419487031762
a756	PRO	-0.765060974021298	-0.157161819956119	-1.11384577832916	0.332654590469813	-0.606030681514893	-1.10786764943602	0.400675720820885	-0.783158355619719	-0.453252801787039	-4.89736775167247
ABX005	PRO	-2.57239753746377	1.07187713741941	-0.394277910683434	1.40548032949328	-2.1685109021817	-0.0801271299312654	0.977740588742117	0.825120682687715	3.14116209450478	-1.19591300948656
ABX008	PRO	0.17928609084122	-1.27955815926321	-0.57430729477259	0.80762165299107	-1.09062431624137	-0.664082666299229	0.648595304278469	1.64721000100197	-0.229658529804537	-1.55122618200979
ABX020	PRO	1.83410615723502	0.65480125775355	-0.412008558630802	0.180772363425458	-0.971313064846066	0.44194941666972	-0.0802584658153888	1.82271849494311	1.69875793813007	-0.617882244242648
ABX027	PRO	-2.12995864861403	0.995094162077479	-1.82240385524094	0.705204587479087	-1.52668483110135	-0.65538016662637	0.159910264924314	0.176466591733413	-3.14530776951719	-2.43407473363625
ABX077	PRO	0.711381292541464	2.27776527677767	1.75822042662401	-1.87117948931819	0.554480280681735	2.05022685094135	-0.642643681467621	-1.1997153032802	-1.34969502414916	1.6789989588869
AMNH141874	HG	-3.73713419065472	0.297680334711854	-2.12352556708682	1.11654805507477	2.84058887893989	0.969450611552913	-0.594772703323872	0.666048373789456	-10.7542102286006	-0.880261220550567
AMNH18811	PRO	-2.04559457110902	-1.2534869296611	-6.0755076268948	-0.250987750640611	-1.21124321632852	-1.0459456095992	0.204793878681482	0.64385558541323	-6.40278117638045	-3.24685375144458
AMNH18813	PRO	-3.32926024797829	-2.05066780388882	-3.68998054967787	0.257013487097328	1.0505097823109	0.816883732502825	0.287808217429979	0.729772144285928	-7.26615397160731	-4.37409125961507
AMNH18817	PRO	0.248711227697764	-0.201643439020203	-1.49484863900292	-0.333484252959466	-0.691511653077803	-1.33990144883034	-0.739669247525587	0.38016172876234	-3.83076517564836	-0.952547952637798
AMNH18818	PRO	0.291498691894281	0.643054400263765	-5.18424432857652	-1.02913769212479	-1.67329800593505	-0.276338285841403	-0.975088832005218	-0.397629120743085	-4.48590013310889	-6.58637233787073
AMNH214680	PRO	0.017504159637762	0.390274516887603	-1.53241730077743	-0.498569354252684	-0.81533262425374	1.60719373135457	0.632821298848903	-0.182536319553742	-0.379366975736235	1.50749135459485
AMNH214681	PRO	0.616893245877845	1.04933768526095	1.33486332941971	-0.919660711567736	-1.06991289468185	0.0106845463541126	-0.366694897802194	-0.863670587762264	2.90195308169919	0.0155243036515468
AMNH214700	PRO	-2.26984243596917	0.853488095072156	0.67973433429867	-1.41027923499522	0.17971525271769	1.69417084287385	-0.942831037823386	0.684591475127494	-1.01969187229546	1.65910697778024
AMNH235203	PRO	2.30567371937405	0.957388924928364	-0.0572928028569634	1.27303715349308	0.924956291837043	-0.478204300139318	0.105645248060343	1.81984898884037	-1.79392439846069	0.0504139070043796
AMNH262314	PRO	1.26586219485371	1.28040115407111	0.730549713792347	-1.9163246449012	-0.855265735998518	0.207245803554436	-1.42615873530375	-0.130602032379075	0.98862030826218	-1.06298297741245
AMNH262316	PRO	-1.18304385999799	1.23158318218298	1.66120708980504	-1.70996851698036	-1.23662278892603	0.217839018159032	0.00516100976014898	-1.67448424678205	-2.21732545534766	-2.15680305598499
AMNH262317	PRO	1.07340735322644	2.54563211246922	0.511539068339048	-1.21960528702953	-2.20460317856707	-0.301905648152328	-0.247428758211166	0.647914795726523	1.24628256545421	0.17614287288474
AMNH262320	PRO	2.89623412155335	2.22710789829243	2.04587170984933	-1.89308727375357	-1.34715763835185	0.308409592154379	-0.285874842807718	-1.30020350378016	1.23016522324974	-0.315359786827527
AMNH262321	PRO	-1.67858672507489	-0.236497693139018	1.97257615969674	-0.542600537711032	-2.09114279634948	-0.975496174976588	0.413551301576677	-0.115632848273144	0.687459132572993	1.43030361176887
