Samples,Clades,Subclades,Initial Reads,Filtered Reads,Initial Clusters,Filtered Clusters,H,HE,Final Clusters,Loci Retained
ABX005,B,ABX,"4,250,491","4,246,405","365,088","79,939",0.008,0.002,"76,308","13,542"
ABX020,B,ABX,"2,723,645","2,721,069","310,633","74,213",0.007,0.002,"71,460","13,422"
AMCC112987,B,NVZ,"3,039,552","3,036,575","387,817","70,208",0.006,0.002,"67,263","6,496"
AMCC112999,C,SVZ,"1,493,735","1,492,180","188,042","47,498",0.008,0.001,"45,740","4,426"
AMCC114577,A,GJR,"2,609,974","2,607,328","367,853","69,937",0.011,0.002,"66,450","7,378"
AMCC176080,B,NVZ,"2,627,971","2,625,323","420,811","70,249",0.006,0.002,"67,026","6,308"
AMNH269123,D,NAR,"4,709,606","4,704,845","440,479","81,567",0.009,0.002,"76,914","13,064"
AMNH272700,D,SSM,"1,608,196","1,606,633","316,822","62,693",0.008,0.003,"59,402","8,654"
C247647,A,PTI,"3,778,844","3,775,227","378,714","85,432",0.008,0.002,"81,523","14,038"
CIT393,D,MTR,"2,300,707","2,298,561","374,711","80,194",0.007,0.002,"76,732","13,581"
CIT448,D,MTR,"2,766,677","2,764,014","314,952","72,701",0.006,0.002,"69,875","12,888"
CTA1028,OUT,OUT,"3,141,959","3,138,855","425,166","73,175",0.007,0.002,"69,803",719
CTA1415,D,SCE,"2,175,679","2,173,754","259,666","71,385",0.005,0.002,"68,929","11,964"
CTA1511,B,TXI,"2,672,598","2,669,989","311,918","78,351",0.007,0.002,"75,603","14,372"
CTA1517,A,EAM,"2,568,226","2,565,803","267,401","77,763",0.009,0.002,"74,721","12,902"
CTA4195,C,GUS,"2,021,054","2,018,923","304,134","63,369",0.007,0.002,"60,838","6,203"
CTA4245,D,NAR,"2,214,988","2,212,738","215,530","53,681",0.007,0.002,"51,365","8,999"
CTA4352,A,LMR,"3,599,480","3,595,923","402,105","75,248",0.009,0.002,"71,702","8,359"
CTA4363,A,LMR,"2,440,084","2,437,512","323,691","66,449",0.009,0.002,"63,268","7,349"
CTA4371,A,IJM,"1,124,626","1,123,499","213,095","52,486",0.007,0.002,"50,231","7,200"
CTA4390,B,TXI,"198,766","198,558","124,352","3,750",0.013,0.004,"3,291",510
EEB1013,OUT,OUT,"1,245,322","1,244,143","201,547","55,354",0.006,0.002,"53,400",531
FMNH175255,D,UMD,"408,058","407,613","65,103","17,918",0.006,0.002,"17,249","2,187"
FMNH175275,E,WAM,"3,271,144","3,268,074","456,885","78,046",0.007,0.003,"73,782","6,549"
FMPS010,OUT,OUT,"3,561,188","3,557,750","377,580","71,386",0.009,0.002,"66,710",656
ICA095,A,IJM,"2,819,142","2,816,301","399,671","75,502",0.010,0.002,"71,120","10,149"
ICA245,A,NSR,"2,414,180","2,411,946","390,167","67,468",0.008,0.003,"63,220","5,829"
JAP012,A,NSR,"1,507,100","1,505,662","240,879","57,940",0.007,0.002,"55,455","5,117"
JAP094,D,JAP,"1,350,168","1,348,909","290,864","58,209",0.006,0.003,"55,186","9,993"
JAP107,D,JAP,"1,476,001","1,474,595","352,015","61,519",0.006,0.003,"57,817","10,001"
JUF017,C,NRB,"4,061,708","4,057,600","480,217","90,502",0.009,0.002,"85,678","9,437"
MBR046,OUT,OUT,"1,674,854","1,673,033","238,582","58,226",0.006,0.002,"55,716","1,069"
MCNM1497,B,XAI,"2,400,373","2,398,159","291,650","72,106",0.007,0.002,"69,525","13,455"
MJ515,A,JMI,"2,144,733","2,142,758","319,340","65,331",0.009,0.003,"61,958","6,845"
MN56812,C,NRB,"3,830,255","3,826,355","514,924","82,841",0.009,0.002,"78,076","8,025"
MN76750,B,CER,"3,399,309","3,396,093","309,899","71,700",0.006,0.002,"69,064","13,283"
MPEG20768,D,UMR,"3,871,135","3,867,308","471,710","81,980",0.010,0.002,"77,284","11,730"
MPEG20769,D,UMR,"3,596,375","3,592,865","443,107","79,054",0.009,0.002,"74,875","11,866"
MSB140110,D,ECU,"3,710,546","3,706,843","421,001","75,722",0.007,0.002,"72,141","7,999"
MSB140111,D,ECU,"2,771,091","2,768,271","354,251","67,979",0.007,0.002,"65,013","6,984"
MSB208394,D,PTC,"1,681,886","1,680,194","233,896","59,112",0.006,0.002,"56,910","8,547"
MSB211792,D,PAB,"999,198","998,289","158,650","51,920",0.005,0.003,"49,660","6,962"
MSB236570,A,ATH,"2,558,413","2,556,048","382,635","70,321",0.010,0.003,"66,417","7,206"
MSB236689,A,MMR,"806,223","805,423","153,452","48,627",0.007,0.003,"46,109","7,298"
MSB236807,A,MMR,"1,131,093","1,130,084","247,090","53,394",0.007,0.003,"50,398","7,987"
MSB263513,HG,HG,"1,774,930","1,773,026","372,885","65,644",0.007,0.002,"61,894","4,156"
MSB45836,D,SEM,"1,495,950","1,494,764","239,216","54,149",0.004,0.002,"52,318","5,462"
MSB70574,D,SPB,"3,163,614","3,160,405","411,678","75,158",0.008,0.002,"71,413","10,435"
MSB99059,D,PTC,"1,574,661","1,573,182","321,540","59,536",0.006,0.003,"56,569","8,347"
MVZ157855,D,SPB,"3,537,288","3,533,940","385,874","74,723",0.007,0.003,"70,699","10,693"
MVZ157905,D,NSM,"2,862,935","2,860,277","406,759","74,530",0.009,0.003,"70,490","10,404"
MVZ157968,E,STR,"184,713","184,529","90,165","7,409",0.007,0.004,"6,530",515
MVZ160094,C,SVZ,"3,725,061","3,721,306","411,353","78,198",0.010,0.001,"74,412","7,588"
MVZ168955,E,WAM,"3,325,897","3,322,862","419,611","77,869",0.008,0.003,"73,791","6,494"
MVZ190699,D,JUR,"2,215,186","2,213,146","394,036","70,819",0.007,0.003,"66,846","12,234"
MVZ194439,D,SSM,"1,898,970","1,897,183","327,530","68,419",0.008,0.003,"64,717","9,991"
MVZ194493,D,JUR,"941,957","941,104","240,458","50,590",0.005,0.003,"47,861","8,922"
MVZ194511,A,SSR,"760,766","760,024","97,646","21,155",0.007,0.002,"20,120","1,413"
MVZ194545,A,JMI,"2,183,678","2,181,345","229,409","62,652",0.011,0.002,"59,810","6,804"
