Catalog Number,Alternative Number,Source,Species,Populations,Endemism,Ecoregions,Structural Archs,Country,State/Province,County,Locality,Longitude,Latitude
AMNH272698,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
AMNH272700,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
MUSM13338,,AMNH-AMCC,P. brevicauda,GALVEZ,Inambari,Southwest Amazon moist forests,Iquitos – Serra do Moa,Peru,Loreto,Alto Amazonas,"Nuevo San Juan, Rio Galvez",-73.16208,-5.2495
FMNH175255,,FMNH,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre de Dios,Manu,"Maskoitania, 13.4 km NNW Atalaya, left bank Rio Alto Madre de Dios",-71.38542,-12.77165
MSB238391,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.54972,-17.10722
MSB70574,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"El Palmar, Rio Cochi Mayu",-65.54972,-17.10722
MSB70575,,MSB,P. brevicauda,BOLIVIA,South Inambari,Bolivian Yungas,South Fitzcarrald,Bolivia,Cochabamba,No information,"12.5 Km SW Villa Tunari, Parque Natl. Carrasco",-65.46667,-17.05
MVZ194439,INPA3442,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Igarape Porongaba, margem direita Rio Jurua",-72.78304,-8.66663
MVZ194463,MPEG28360,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Nova Vida, right bank, Rio Jurua",-72.81667,-8.36666
MVZ194485,MPEG28371,MVZ,P. brevicauda,ACRE,Inambari,Iquitos várzea,Iquitos – Serra do Moa,Brazil,Acre,Porto Walter,"Sobral, margem esquerda Rio Jurua",-72.81662,-8.36666
MVZ155121,,MVZ,P. brevicauda,AMAZONAS,Napo,Ucayali and Napo moist forests,Marañón – Andes,Peru,Amazonas,No information,"Vicinity of Huampami (Aguaruna Village), Rio Cenepa",-78.168333,-4.456667
MVZ157905,,MVZ,P. brevicauda,AMAZONAS,Napo,Ucayali and Napo moist forests,Marañón – Andes,Peru,Amazonas,No information,"La Poza, Rio Santiago",-77.766667,-4.05
MVZ157855,,MVZ,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre di Dios,No information,"Lago Sandoval, Rio Madre de Dios",-69.07,-12.63333
MVZ168953,,MVZ,P. brevicauda,MADRE,South Inambari,Southwest Amazon moist forests,South Fitzcarrald,Peru,Madre di Dios,No information,"Albergue Cusco Amazonica, Rio Madre de Dios, ca. 12 Km E Puero Maldonado",-69.07289,-12.6
TTU101179,TK73909,TTU,P. brevicauda,IQUITOS,Napo,Iquitos várzea,Iquitos – Serra do Moa,Peru,Loreto,Maynas,"Iquitos, 21 Km S, Estacion Biologica Allpahuayo",-73.26836,-4.02398
