Species,Longitude,Latitude,Voucher,Based on,Source,Locality
P. brevicauda,-73.9006,2.9691,AMNH142145,morphology,AMNH,Colombia: Meta: Serranía de la Macarena
P. brevicauda,-74.9349,-10.2973,AMNH213482,morphology,AMNH,Peru: Pasco: Puerto Bermudez
P. brevicauda,-74.8333,-10.4168,AMNH230869,morphology,AMNH,Peru: Pasco: Nevati Mission
P. brevicauda,-67.5221,-14.4336,AMNH247905,morphology,AMNH,Bolivia: Beni: Rurrenabaque
P. brevicauda,-68.9167,-11.2833,AMNH249059,morphology,AMNH,Bolivia: Pando: Nareuda River
P. brevicauda,-73.1621,-5.2495,AMNH268275,morphology,AMNH,"Peru: Loreto: Nuevo San Juan, Río Galvez"
P. brevicauda,-75.6044,1.6151,AMNH33709,morphology,AMNH,Colombia: Caquetá
P. brevicauda,-77.4839,-1.7345,AMNH67322,morphology,AMNH,Ecuador: Pastaza: Sarayacu
P. brevicauda,-74.0879,-2.3516,AMNH71885,morphology,AMNH,Peru: Loreto: Boca do Rio Curaray
P. brevicauda,-72.1333,-3.4333,AMNH73797,morphology,AMNH,Peru: Loreto: Orosa
P. brevicauda,-75.0996,-6.7333,AMNH75275,morphology,AMNH,Peru: Loreto: Sarayacu
P. brevicauda,-75.9000,-6.4167,AMNH98249,morphology,AMNH,"Peru: San Martín: Achinamisa, Rio Huallaga"
P. brevicauda,-71.3854,-12.7717,FMNH175255,genomic (this study),FMNH,Peru: Madre de Dios: Maskoitania
P. brevicauda,-75.3333,0.4667,FMNH71165,morphology,FMNH,Colombia: Putumayo: Rio Mecaya
P. brevicauda,-75.5500,1.4000,FMNH71173,morphology,FMNH,Colombia: Caquetá: Montanita
P. brevicauda,-68.7468,-10.9984,LMUSP210,morphology,LMUSP,Brazil: Acre: Reserva Extrativista Chico Mendes
P. brevicauda,-77.8975,-1.0741,MCZ37893,morphology,MCZ,"Ecuador: Oriente, Rio JatunYacu [=Rio Jatunyacu]"
P. brevicauda,-76.1094,-5.8948,MN35874,morphology,MN,Peru: Loreto: Yurimaguás
P. brevicauda,-73.4774,-4.0951,MN35875,morphology,MN,Peru: Loreto: Estrada Iquitos-Nauta
P. brevicauda,-73.6674,-4.9063,MN35880,morphology,MN,"Peru: Loreto: Genaro Herrera, Rio Ucayali"
P. brevicauda,-73.4427,-3.8435,MN35882,morphology,MN,"Peru: Loreto: Mishana, Rio Nanay"
P. brevicauda,-77.2746,-2.0444,MN46789,morphology,MN,Ecuador: Pastaza: Rio Bobonaza
P. brevicauda,-76.4167,-0.7833,MN75774,morphology,MN,Ecuador: Napo: San Francisco
