Catalog Number,Alternative Number,Source,Species,longitude,latitude,RB,IOC,ZB,MB,GSL,NL,RL,OL,RD,CDM1,BaL,PLa,CIL,MTRL,MaxB,D,IFL,IFW,BuL,OccW,LMD,MD
MN35875,,MN,P. brevicauda,-73.4774,-4.09507,8.93,12.98,26.53,20.99,58.57,23.08,24.38,14.39,11.76,15.92,41.12,19.44,48.39,8.34,9.41,12.38,5.85,2.31,10.18,9.39,7.51,31.68
MVZ153616,,MVZ,P. brevicauda,-78.1572,-4.45772,8.73,11.95,28.63,21.51,59.66,23.67,23.65,15.36,12.15,16.18,42.42,21.55,49.09,9.59,10.4,12.87,5.68,3,11,10.32,8.43,32.29
MVZ155034,,MVZ,P. brevicauda,-78.16854,-4.45236,8.21,11.32,27.18,20.8,59.8,23,23.72,15.02,10.6,15.35,43.16,20.85,49,9.27,9.95,13.07,6.09,3.15,10.38,10.78,7.97,30.49
MVZ155036,,MVZ,P. brevicauda,-78.16123,-4.45563,8.48,11.73,27.15,20.75,55.97,21.75,22.37,13.8,10.96,14.88,39.23,19.07,45.47,9.29,9.44,11.73,5.47,2.94,10.21,9.98,7.08,29.5
MVZ157934,,MVZ,P. brevicauda,-77751,-4022,9.32,11.63,25.91,21.36,57.25,20.72,22.94,14.44,11.52,15.62,41.26,21.75,46.77,9.18,10.08,12.84,6.05,3.33,10.04,10.11,7.67,30.45
MVZ157948,,MVZ,P. brevicauda,-77751,-4022,8.72,11.82,26.92,21.03,60.01,22.42,23.55,15.18,11.57,15.51,43.51,21.11,49.4,8.84,9.64,12.8,6.44,2.81,10.23,10.03,7.57,31.72
MVZ157966,,MVZ,P. brevicauda,-77751,-4022,7.91,11.63,27.5,20.91,60.36,22.82,23.18,15.77,11.28,15.72,42.84,21.28,49.51,8.75,9.43,13.09,5.59,2.78,10.87,10.81,7.81,32.56
AMNH263054,,AMNH,P. brevicauda,-66.77966,-11.74947,8.29,10.43,23.93,19.19,51.18,19,20.5,12.75,9.47,12.82,36.42,18.28,42.7,8.77,8.95,10.68,5.33,2.7,10.13,8.55,6.38,27
AMNH263122,,AMNH,P. brevicauda,-66.77966,-11.74947,8.65,11.22,26.22,21.29,53.74,19.04,20.27,13.96,10.85,14.17,37.8,18.04,44.75,8.89,9.3,10.68,5.86,2.87,10.59,9.21,6.58,29.39
MVZ157855,,MVZ,P. brevicauda,-69068,-12.63333,8.65,10.91,24.71,20.36,50.63,18.22,19.19,13.5,10.17,13.61,36.48,17.57,42.17,9.15,8.86,10.22,6.31,2.76,10.33,9.52,6.02,27.19
MVZ168956,,MVZ,P. brevicauda,-69.07289,-12.6,7.61,11.26,24.33,17.77,49.75,18.21,19.44,12.53,9.33,13.38,35.9,18.4,41.15,8.6,9.52,10.64,4.57,2.47,10.43,9.12,6.67,28.31
MVZ168958,,MVZ,P. brevicauda,-69.07289,-12.6,8.09,11.06,24.47,19.51,53.13,19.8,20.5,13.54,10.22,14.28,37.08,18.92,43.04,8.48,8.81,10.52,5.66,2.23,10.52,9.2,6.63,28.39
AMNH268281,,AMNH,P. brevicauda,-73.16208,-5.2495,8.49,11.73,24.37,19.88,54.67,21.06,21.59,13.88,10.73,14.64,38.85,19.04,45.31,8.24,9.78,11.75,5.35,3.1,10.03,10.14,6.72,28.38
